product_id,category,sub_category,brand,cost_price,selling_price,unit_margin_pct
1,Electronics,Mobile Phones,ZoomTech,1591.65,2886.0,44.85
2,Sports & Outdoors,Yoga,TrailBlazer,30.9,59.0,47.63
3,Sports & Outdoors,Yoga,FitLife,298.94,589.0,49.25
4,Sports & Outdoors,Fitness,OutdoorPro,54.61,98.0,44.28
5,Clothing,Women's Wear,FashionHub,113.88,256.0,55.52
6,Books,Educational,KnowledgeFirst,15.31,40.0,61.72
7,Electronics,Smartwatches,SkyNet,1027.55,1804.0,43.04
8,Clothing,Women's Wear,TrendSetter,92.89,230.0,59.61
9,Clothing,Accessories,FashionHub,61.01,118.0,48.3
10,Electronics,Laptops,NovaTech,433.87,772.0,43.8
11,Clothing,Kids' Wear,UrbanFit,60.22,150.0,59.85
12,Electronics,Smartwatches,TechPro,1899.61,1797.0,-5.71
13,Sports & Outdoors,Team Sports,SportMax,92.79,158.0,41.27
14,Books,Educational,KnowledgeFirst,34.39,76.0,54.75
15,Books,Comics,KnowledgeFirst,5.14,11.0,53.27
16,Clothing,Women's Wear,UrbanFit,47.31,91.0,48.01
17,Clothing,Men's Wear,TrendSetter,106.56,245.0,56.51
18,Electronics,Laptops,TechPro,1081.54,1641.0,34.09
19,Electronics,Smartwatches,Electra,2070.38,3611.0,42.66
20,Electronics,Mobile Phones,NovaTech,2097.86,3606.0,41.82
21,Electronics,Cameras,NovaTech,1867.06,3230.0,42.2
22,Electronics,Laptops,Electra,2323.28,3320.0,30.02
23,Clothing,Men's Wear,FashionHub,48.85,93.0,47.47
24,Clothing,Men's Wear,UrbanFit,71.57,136.0,47.38
25,Home & Kitchen,Decor,KitchenKing,263.63,415.0,36.47
26,Clothing,Accessories,FashionHub,83.08,207.0,59.86
27,Electronics,Laptops,NovaTech,353.71,602.0,41.24
28,Sports & Outdoors,Fitness,ActiveGear,81.65,140.0,41.68
29,Books,Non-Fiction,WordCraft,18.52,42.0,55.9
30,Clothing,Footwear,ClassicWear,59.36,114.0,47.93
31,Clothing,Kids' Wear,StyleCraft,93.34,212.0,55.97
32,Sports & Outdoors,Cycling,FitLife,137.49,297.0,53.71
33,Electronics,Headphones,TechPro,1724.28,2757.0,37.46
34,Electronics,Cameras,TechPro,2132.43,3460.0,38.37
35,Clothing,Kids' Wear,ClassicWear,63.13,132.0,52.17
36,Clothing,Kids' Wear,UrbanFit,65.81,164.0,59.87
37,Clothing,Kids' Wear,UrbanFit,94.29,186.0,49.31
38,Clothing,Accessories,StyleCraft,20.8,51.0,59.22
