order_id,product_id,quantity,selling_price,discount,customer_id,order_date,region,payment_mode,category,sub_category,brand,cost_price,revenue,cost_total,profit,discount_impact,is_return,margin_pct
1,173,2,59.0,0,1117,2023-12-29,North,UPI,Sports & Outdoors,Team Sports,ActiveGear,28.44,118.0,56.88,61.12,0.0,False,51.8
2,131,3,162.0,0,1060,2024-12-02,North,Debit Card,Home & Kitchen,Bedding,HomeEase,101.94,486.0,305.82,180.18,0.0,False,37.07
3,130,1,100.8,10,291,2025-02-03,North,COD,Clothing,Footwear,ClassicWear,46.7,100.8,46.7,54.099999999999994,10.08,False,53.67
3,417,1,1992.0,40,291,2025-02-03,North,COD,Electronics,Smartwatches,ZoomTech,2318.7,1992.0,2318.7,-326.6999999999998,796.8,True,-16.4
4,78,1,382.85,5,1773,2023-02-27,East,Debit Card,Sports & Outdoors,Camping,ActiveGear,216.86,382.85,216.86,165.99,19.1425,False,43.36
4,312,1,70.0,0,1773,2023-02-27,East,Debit Card,Sports & Outdoors,Yoga,TrailBlazer,32.2,70.0,32.2,37.8,0.0,False,54.0
5,115,3,443.7,15,675,2024-05-03,West,UPI,Home & Kitchen,Bedding,DreamHome,279.17,1331.1,837.51,493.5899999999999,199.665,False,37.08
5,365,1,102.9,30,675,2024-05-03,West,UPI,Clothing,Women's Wear,UrbanFit,62.57,102.9,62.57,40.330000000000005,30.87,True,39.19
5,283,2,573.6,20,675,2024-05-03,West,UPI,Home & Kitchen,Storage,KitchenKing,360.69,1147.2,721.38,425.82000000000005,229.44,False,37.12
6,76,2,1932.45,35,362,2023-04-05,West,UPI,Electronics,Smartwatches,TechPro,1869.13,3864.9,3738.26,126.63999999999987,1352.715,True,3.28
6,99,1,128.0,20,362,2023-04-05,West,UPI,Clothing,Footwear,ClassicWear,76.66,128.0,76.66,51.34,25.6,False,40.11
6,62,1,343.4,15,362,2023-04-05,West,UPI,Home & Kitchen,Decor,HomeEase,209.07,343.4,209.07,134.32999999999998,51.51,False,39.12
