order_id,order_date,year,quarter,month,region,payment_mode,category,sub_category,brand,product_id,quantity,revenue,profit,discount,margin_pct,is_return
1,2023-12-29,2023,4,12,North,UPI,Sports & Outdoors,Team Sports,ActiveGear,173,2,118.0,61.12,0,51.8,False
2,2024-12-02,2024,4,12,North,Debit Card,Home & Kitchen,Bedding,HomeEase,131,3,486.0,180.18,0,37.07,False
3,2025-02-03,2025,1,2,North,COD,Clothing,Footwear,ClassicWear,130,1,100.8,54.099999999999994,10,53.67,False
3,2025-02-03,2025,1,2,North,COD,Electronics,Smartwatches,ZoomTech,417,1,1992.0,-326.6999999999998,40,-16.4,True
4,2023-02-27,2023,1,2,East,Debit Card,Sports & Outdoors,Camping,ActiveGear,78,1,382.85,165.99,5,43.36,False
4,2023-02-27,2023,1,2,East,Debit Card,Sports & Outdoors,Yoga,TrailBlazer,312,1,70.0,37.8,0,54.0,False
5,2024-05-03,2024,2,5,West,UPI,Home & Kitchen,Bedding,DreamHome,115,3,1331.1,493.5899999999999,15,37.08,False
5,2024-05-03,2024,2,5,West,UPI,Clothing,Women's Wear,UrbanFit,365,1,102.9,40.330000000000005,30,39.19,True
5,2024-05-03,2024,2,5,West,UPI,Home & Kitchen,Storage,KitchenKing,283,2,1147.2,425.82000000000005,20,37.12,False
6,2023-04-05,2023,2,4,West,UPI,Electronics,Smartwatches,TechPro,76,2,3864.9,126.63999999999987,35,3.28,True
6,2023-04-05,2023,2,4,West,UPI,Clothing,Footwear,ClassicWear,99,1,128.0,51.34,20,40.11,False
6,2023-04-05,2023,2,4,West,UPI,Home & Kitchen,Decor,HomeEase,62,1,343.4,134.32999999999998,15,39.12,False
7,2024-11-10,2024,4,11,West,Debit Card,Sports & Outdoors,Team Sports,TrailBlazer,180,1,384.75,192.36,5,50.0,False
8,2024-08-22,2024,3,8,East,Wallet,Clothing,Accessories,StyleCraft,128,2,418.0,250.56,0,59.94,False
8,2024-08-22,2024,3,8,East,Wallet,Electronics,Smartwatches,SkyNet,7,2,3608.0,1552.9,0,43.04,False
8,2024-08-22,2024,3,8,East,Wallet,Books,Educational,KnowledgeFirst,14,1,72.2,37.81,5,52.37,False
8,2024-08-22,2024,3,8,East,Wallet,Clothing,Kids' Wear,UrbanFit,36,1,164.0,98.19,0,59.87,False
9,2023-02-11,2023,1,2,North,UPI,Electronics,Smartwatches,SkyNet,339,1,1922.7,481.48,15,25.04,False
10,2024-06-15,2024,2,6,South,Debit Card,Clothing,Women's Wear,TrendSetter,328,1,93.0,47.06,0,50.6,False
11,2023-07-09,2023,3,7,South,UPI,Clothing,Accessories,UrbanFit,71,1,51.85,22.5,15,43.39,False
12,2023-09-14,2023,3,9,West,Net Banking,Sports & Outdoors,Camping,ActiveGear,305,3,938.4000000000001,248.10000000000014,20,26.44,True
13,2024-12-23,2024,4,12,South,UPI,Books,Comics,WordCraft,146,2,96.0,60.02,0,62.52,False
14,2023-10-26,2023,4,10,West,Net Banking,Books,Magazines,WordCraft,370,1,78.0,47.84,0,61.33,False
14,2023-10-26,2023,4,10,West,Net Banking,Home & Kitchen,Storage,KitchenKing,121,3,1221.6,360.15,20,29.48,False
14,2023-10-26,2023,4,10,West,Net Banking,Clothing,Women's Wear,UrbanFit,16,1,81.9,34.59,10,42.23,False
14,2023-10-26,2023,4,10,West,Net Banking,Home & Kitchen,Bedding,HomeEase,252,3,1692.0,461.4000000000001,25,27.27,False
14,2023-10-26,2023,4,10,West,Net Banking,Home & Kitchen,Bedding,LivingSpace,150,2,901.5,213.62,25,23.7,False
15,2023-11-25,2023,4,11,South,Credit Card,Clothing,Footwear,StyleCraft,366,1,185.3,81.45000000000002,15,43.96,False
15,2023-11-25,2023,4,11,South,Credit Card,Home & Kitchen,Bedding,HomeEase,415,2,506.0,213.04000000000002,0,42.1,False
15,2023-11-25,2023,4,11,South,Credit Card,Clothing,Footwear,FashionHub,314,3,253.79999999999998,-53.130000000000024,10,-20.93,False
15,2023-11-25,2023,4,11,South,Credit Card,Books,Educational,WordCraft,331,2,52.0,31.74,0,61.04,False
16,2024-04-29,2024,2,4,South,UPI,Electronics,Laptops,NovaTech,27,1,541.8,188.08999999999997,10,34.72,False
17,2023-01-28,2023,1,1,West,Net Banking,Home & Kitchen,Cookware,HomeEase,70,2,843.2,251.96000000000004,20,29.88,False
18,2024-06-28,2024,2,6,West,COD,Electronics,Laptops,TechPro,178,3,5325.75,760.7399999999998,25,14.28,False
19,2024-05-30,2024,2,5,South,Net Banking,Clothing,Accessories,FashionHub,26,1,207.0,123.92,0,59.86,False
19,2024-05-30,2024,2,5,South,Net Banking,Clothing,Accessories,StyleCraft,123,1,214.7,121.25999999999999,5,56.48,False
20,2023-03-29,2023,1,3,West,Net Banking,Home & Kitchen,Storage,HomeEase,51,1,407.15,161.42999999999998,15,39.65,False
20,2023-03-29,2023,1,3,West,Net Banking,Home & Kitchen,Furniture,DreamHome,486,1,78.2,23.86,15,30.51,False
20,2023-03-29,2023,1,3,West,Net Banking,Clothing,Kids' Wear,StyleCraft,120,1,274.0,161.3,0,58.87,False
21,2024-06-17,2024,2,6,West,Credit Card,Home & Kitchen,Storage,HomeEase,399,2,369.0,126.74000000000001,10,34.35,False
21,2024-06-17,2024,2,6,West,Credit Card,Clothing,Kids' Wear,TrendSetter,277,1,51.3,21.349999999999998,10,41.62,True
22,2024-10-15,2024,4,10,South,Debit Card,Sports & Outdoors,Camping,TrailBlazer,124,1,376.2,137.48,10,36.54,False
23,2023-05-09,2023,2,5,North,Credit Card,Home & Kitchen,Storage,DreamHome,467,1,127.8,45.230000000000004,10,35.39,False
23,2023-05-09,2023,2,5,North,Credit Card,Home & Kitchen,Cookware,KitchenKing,142,1,552.0,84.0,25,15.22,False
24,2024-05-04,2024,2,5,South,Wallet,Sports & Outdoors,Fitness,TrailBlazer,480,1,114.75,52.48,15,45.73,False
25,2023-06-04,2023,2,6,East,UPI,Clothing,Women's Wear,ClassicWear,282,1,248.2,114.61999999999998,15,46.18,False
26,2023-10-17,2023,4,10,East,Wallet,Electronics,Mobile Phones,SkyNet,374,1,1334.25,242.82999999999993,25,18.2,True
26,2023-10-17,2023,4,10,East,Wallet,Electronics,Smartwatches,SkyNet,339,1,1583.4,142.18000000000006,30,8.98,False
27,2023-11-16,2023,4,11,South,Net Banking,Home & Kitchen,Cookware,ComfortPro,189,2,914.6,274.30000000000007,15,29.99,False
28,2024-05-19,2024,2,5,West,Wallet,Home & Kitchen,Bedding,HomeEase,415,1,240.35,93.87,5,39.06,False
28,2024-05-19,2024,2,5,West,Wallet,Home & Kitchen,Decor,KitchenKing,25,3,1058.25,267.36,15,25.26,False
29,2024-07-01,2024,3,7,East,UPI,Clothing,Women's Wear,ClassicWear,282,1,292.0,158.42,0,54.25,False
30,2024-12-19,2024,4,12,South,COD,Clothing,Women's Wear,UrbanFit,468,2,243.2,133.82,5,55.02,True
30,2024-12-19,2024,4,12,South,COD,Sports & Outdoors,Team Sports,FitLife,241,3,1060.8000000000002,378.9900000000001,15,35.73,False
31,2024-03-31,2024,1,3,South,UPI,Books,Non-Fiction,WordCraft,84,1,46.55,23.089999999999996,5,49.6,False
31,2024-03-31,2024,1,3,South,UPI,Electronics,Mobile Phones,SkyNet,374,3,5337.0,2062.74,0,38.65,False
31,2024-03-31,2024,1,3,South,UPI,Sports & Outdoors,Cycling,SportMax,496,2,788.0,372.8,0,47.31,False
32,2023-08-31,2023,3,8,South,Debit Card,Books,Non-Fiction,WordCraft,29,1,37.8,19.279999999999998,10,51.01,False
32,2023-08-31,2023,3,8,South,Debit Card,Clothing,Men's Wear,TrendSetter,92,1,203.0,98.76,0,48.65,False
32,2023-08-31,2023,3,8,South,Debit Card,Home & Kitchen,Furniture,KitchenKing,455,2,342.0,160.66,5,46.98,False
32,2023-08-31,2023,3,8,South,Debit Card,Electronics,Cameras,ZoomTech,456,1,2612.8,553.6300000000001,20,21.19,False
33,2024-05-18,2024,2,5,South,Credit Card,Home & Kitchen,Furniture,ComfortPro,489,1,255.85,93.73999999999998,15,36.64,False
33,2024-05-18,2024,2,5,South,Credit Card,Electronics,Headphones,ZoomTech,233,1,3101.4,1087.9,10,35.08,True
33,2024-05-18,2024,2,5,South,Credit Card,Home & Kitchen,Cookware,KitchenKing,457,2,178.6,82.86,5,46.39,False
34,2024-03-08,2024,1,3,South,UPI,Books,Educational,PageTurner,346,2,74.1,38.019999999999996,5,51.31,False
34,2024-03-08,2024,1,3,South,UPI,Clothing,Men's Wear,FashionHub,485,1,210.8,95.34000000000002,15,45.23,False
35,2024-05-03,2024,2,5,West,UPI,Home & Kitchen,Decor,LivingSpace,63,1,532.0,223.16000000000003,0,41.95,False
35,2024-05-03,2024,2,5,West,UPI,Sports & Outdoors,Fitness,OutdoorPro,4,1,98.0,43.39,0,44.28,False
36,2024-01-01,2024,1,1,West,Credit Card,Clothing,Footwear,FashionHub,165,1,159.8,83.13000000000001,15,52.02,False
36,2024-01-01,2024,1,1,West,Credit Card,Clothing,Footwear,ClassicWear,130,1,112.0,65.3,0,58.3,False
36,2024-01-01,2024,1,1,West,Credit Card,Sports & Outdoors,Yoga,OutdoorPro,454,1,218.7,93.89999999999999,10,42.94,False
37,2024-12-05,2024,4,12,South,Net Banking,Electronics,Smartwatches,SkyNet,339,3,4410.9,87.23999999999978,35,1.98,False
37,2024-12-05,2024,4,12,South,Net Banking,Books,Magazines,KnowledgeFirst,311,1,58.0,32.36,0,55.79,False
38,2023-12-19,2023,4,12,North,Credit Card,Electronics,Smartwatches,ZoomTech,417,2,5644.0,1006.6000000000004,15,17.83,False
38,2023-12-19,2023,4,12,North,Credit Card,Electronics,Mobile Phones,Electra,284,1,1734.85,463.17999999999984,15,26.7,False
39,2025-02-24,2025,1,2,West,Debit Card,Electronics,Headphones,Electra,50,1,2216.5,-140.7800000000002,35,-6.35,False
39,2025-02-24,2025,1,2,West,Debit Card,Clothing,Footwear,TrendSetter,482,1,133.0,65.68,0,49.38,False
40,2024-10-05,2024,4,10,West,COD,Sports & Outdoors,Yoga,FitLife,268,2,766.8,373.35999999999996,10,48.69,False
40,2024-10-05,2024,4,10,West,COD,Home & Kitchen,Cookware,ComfortPro,361,1,341.7,133.91,15,39.19,True
41,2024-05-10,2024,2,5,East,Wallet,Books,Educational,LearnHub,322,1,38.0,21.11,5,55.55,False
41,2024-05-10,2024,2,5,East,Wallet,Clothing,Men's Wear,StyleCraft,354,2,306.0,155.82,0,50.92,True
41,2024-05-10,2024,2,5,East,Wallet,Electronics,Mobile Phones,NovaTech,112,3,5365.5,209.3099999999995,30,3.9,False
42,2024-07-02,2024,3,7,South,Net Banking,Clothing,Men's Wear,UrbanFit,272,1,141.1,62.41999999999999,15,44.24,False
43,2024-07-10,2024,3,7,West,Credit Card,Home & Kitchen,Bedding,KitchenKing,493,1,512.0,206.01999999999998,0,40.24,False
44,2023-09-25,2023,3,9,North,Debit Card,Sports & Outdoors,Team Sports,TrailBlazer,281,1,115.6,51.33,15,44.4,False
44,2023-09-25,2023,3,9,North,Debit Card,Clothing,Footwear,ClassicWear,99,1,136.0,59.34,15,43.63,True
45,2024-11-27,2024,4,11,West,Debit Card,Clothing,Men's Wear,UrbanFit,213,1,113.05,51.14,5,45.24,False
46,2024-12-20,2024,4,12,South,UPI,Books,Educational,PageTurner,346,1,37.05,19.009999999999998,5,51.31,False
47,2023-04-12,2023,2,4,West,UPI,Electronics,Smartwatches,NovaTech,291,1,1060.5,117.67999999999995,25,11.1,False
47,2023-04-12,2023,2,4,West,UPI,Home & Kitchen,Storage,KitchenKing,121,1,407.2,120.05000000000001,20,29.48,False
48,2023-04-14,2023,2,4,North,Debit Card,Clothing,Men's Wear,FashionHub,348,2,478.4,170.09999999999997,20,35.56,False
48,2023-04-14,2023,2,4,North,Debit Card,Clothing,Accessories,ClassicWear,269,1,228.0,111.23,0,48.79,False
48,2023-04-14,2023,2,4,North,Debit Card,Home & Kitchen,Storage,DreamHome,323,2,87.4,37.56,5,42.97,False
49,2023-08-08,2023,3,8,North,Debit Card,Home & Kitchen,Bedding,HomeEase,145,1,262.0,96.81,0,36.95,False
49,2023-08-08,2023,3,8,North,Debit Card,Clothing,Kids' Wear,ClassicWear,35,1,118.8,55.669999999999995,10,46.86,False
49,2023-08-08,2023,3,8,North,Debit Card,Sports & Outdoors,Camping,SportMax,69,3,852.1500000000001,350.8800000000001,5,41.18,True
49,2023-08-08,2023,3,8,North,Debit Card,Clothing,Men's Wear,UrbanFit,213,1,113.05,51.14,5,45.24,False
49,2023-08-08,2023,3,8,North,Debit Card,Clothing,Accessories,ClassicWear,269,1,182.4,65.63000000000001,20,35.98,False
50,2024-06-25,2024,2,6,West,UPI,Clothing,Accessories,UrbanFit,321,1,65.0,30.43,0,46.82,False
50,2024-06-25,2024,2,6,West,UPI,Clothing,Women's Wear,FashionHub,498,1,263.0,157.3,0,59.81,False
51,2024-05-17,2024,2,5,West,Credit Card,Sports & Outdoors,Yoga,TrailBlazer,139,1,157.6,60.47,20,38.37,False
52,2024-06-30,2024,2,6,West,UPI,Books,Fiction,LearnHub,338,2,74.8,37.9,15,50.67,False
52,2024-06-30,2024,2,6,West,UPI,Sports & Outdoors,Camping,TrailBlazer,453,3,1058.4,357.06000000000006,10,33.74,False
52,2024-06-30,2024,2,6,West,UPI,Home & Kitchen,Decor,ComfortPro,400,1,315.0,101.62,25,32.26,False
53,2023-05-24,2023,2,5,East,Credit Card,Electronics,Smartwatches,TechPro,431,1,2727.0,838.0999999999999,10,30.73,False
54,2024-06-04,2024,2,6,East,Net Banking,Sports & Outdoors,Cycling,OutdoorPro,470,1,56.05,23.39,5,41.73,False
55,2023-10-03,2023,4,10,North,UPI,Home & Kitchen,Storage,HomeEase,51,1,383.2,137.48,20,35.88,False
56,2024-06-01,2024,2,6,West,Debit Card,Sports & Outdoors,Yoga,ActiveGear,403,3,303.45000000000005,127.62000000000006,15,42.06,False
56,2024-06-01,2024,2,6,West,Debit Card,Books,Educational,PageTurner,346,1,33.15,15.11,15,45.58,True
57,2023-01-19,2023,1,1,North,UPI,Electronics,Laptops,NovaTech,27,2,1083.6,376.17999999999995,10,34.72,False
57,2023-01-19,2023,1,1,North,UPI,Clothing,Accessories,UrbanFit,217,1,209.95,115.82,5,55.17,False
58,2024-01-14,2024,1,1,East,Credit Card,Clothing,Men's Wear,StyleCraft,249,2,493.2,270.79999999999995,10,54.91,False
58,2024-01-14,2024,1,1,East,Credit Card,Books,Non-Fiction,LearnHub,66,1,35.0,22.560000000000002,0,64.46,False
58,2024-01-14,2024,1,1,East,Credit Card,Sports & Outdoors,Cycling,SportMax,358,3,129.60000000000002,48.24000000000002,10,37.22,False
58,2024-01-14,2024,1,1,East,Credit Card,Clothing,Kids' Wear,ClassicWear,35,2,224.4,98.14,15,43.73,False
59,2023-12-24,2023,4,12,South,UPI,Home & Kitchen,Storage,DreamHome,316,2,223.2,92.07999999999998,10,41.25,False
60,2023-06-10,2023,2,6,West,Credit Card,Clothing,Footwear,FashionHub,165,2,300.8,147.46,20,49.02,False
60,2023-06-10,2023,2,6,West,Credit Card,Electronics,Headphones,NovaTech,286,1,1754.0,-429.9699999999998,50,-24.51,False
61,2023-05-01,2023,2,5,West,Debit Card,Sports & Outdoors,Team Sports,TrailBlazer,180,1,364.5,172.11,10,47.22,False
61,2023-05-01,2023,2,5,West,Debit Card,Books,Educational,WordCraft,261,1,27.0,14.44,0,53.48,False
62,2023-08-19,2023,3,8,West,Debit Card,Home & Kitchen,Cookware,LivingSpace,179,2,919.7,221.60000000000002,15,24.09,False
62,2023-08-19,2023,3,8,West,Debit Card,Home & Kitchen,Decor,DreamHome,187,1,473.1,199.67000000000002,5,42.2,False
62,2023-08-19,2023,3,8,West,Debit Card,Home & Kitchen,Bedding,DreamHome,292,3,180.0,73.77000000000001,0,40.98,False
63,2024-09-15,2024,3,9,West,UPI,Sports & Outdoors,Team Sports,SportMax,414,3,458.84999999999997,239.24999999999994,5,52.14,False
63,2024-09-15,2024,3,9,West,UPI,Home & Kitchen,Bedding,DreamHome,394,1,391.0,174.68,0,44.68,False
63,2024-09-15,2024,3,9,West,UPI,Electronics,Cameras,Electra,462,1,1770.75,395.4200000000001,25,22.33,True
64,2023-02-11,2023,1,2,West,Credit Card,Home & Kitchen,Bedding,DreamHome,115,1,522.0,242.82999999999998,0,46.52,False
65,2024-01-12,2024,1,1,West,Debit Card,Electronics,Laptops,ZoomTech,87,1,1266.0,-26.789999999999964,40,-2.12,False
65,2024-01-12,2024,1,1,West,Debit Card,Electronics,Smartwatches,NovaTech,166,1,1320.8,-548.23,20,-41.51,True
65,2024-01-12,2024,1,1,West,Debit Card,Clothing,Men's Wear,ClassicWear,373,1,92.0,53.68,0,58.35,True
65,2024-01-12,2024,1,1,West,Debit Card,Clothing,Footwear,StyleCraft,366,2,392.4,184.7,10,47.07,False
65,2024-01-12,2024,1,1,West,Debit Card,Electronics,Laptops,Electra,232,1,1940.4,98.42000000000007,30,5.07,True
66,2024-02-18,2024,1,2,East,Debit Card,Clothing,Men's Wear,FashionHub,72,1,80.1,42.209999999999994,10,52.7,False
66,2024-02-18,2024,1,2,East,Debit Card,Clothing,Accessories,UrbanFit,217,1,221.0,126.87,0,57.41,False
67,2024-06-15,2024,2,6,West,Net Banking,Electronics,Headphones,TechPro,33,2,3859.8,411.24000000000024,30,10.65,True
68,2023-09-03,2023,3,9,West,COD,Clothing,Kids' Wear,ClassicWear,270,3,198.0,94.53,0,47.74,True
69,2023-10-29,2023,4,10,East,COD,Clothing,Kids' Wear,TrendSetter,184,1,242.25,137.51,5,56.76,True
70,2023-11-29,2023,4,11,West,COD,Sports & Outdoors,Camping,ActiveGear,161,1,50.4,17.659999999999997,20,35.04,False
70,2023-11-29,2023,4,11,West,COD,Books,Educational,WordCraft,188,1,44.65,26.259999999999998,5,58.81,False
70,2023-11-29,2023,4,11,West,COD,Clothing,Accessories,ClassicWear,479,1,197.1,-27.97,10,-14.19,False
71,2024-09-26,2024,3,9,South,Credit Card,Home & Kitchen,Cookware,LivingSpace,243,1,191.25,66.53,15,34.79,False
71,2024-09-26,2024,3,9,South,Credit Card,Electronics,Cameras,SkyNet,152,2,2968.0,946.1600000000001,0,31.88,False
71,2024-09-26,2024,3,9,South,Credit Card,Sports & Outdoors,Yoga,OutdoorPro,310,1,25.65,12.679999999999998,5,49.43,False
72,2023-12-06,2023,4,12,North,Credit Card,Electronics,Headphones,ZoomTech,88,3,8217.0,1664.37,25,20.26,True
72,2023-12-06,2023,4,12,North,Credit Card,Electronics,Smartwatches,SkyNet,7,2,2706.0,650.9000000000001,25,24.05,False
73,2023-12-27,2023,4,12,West,UPI,Sports & Outdoors,Camping,FitLife,208,2,278.8,131.02,15,46.99,False
73,2023-12-27,2023,4,12,West,UPI,Clothing,Men's Wear,TrendSetter,92,1,203.0,98.76,0,48.65,False
73,2023-12-27,2023,4,12,West,UPI,Electronics,Laptops,TechPro,178,2,3787.2,743.8599999999997,20,19.64,True
74,2023-08-04,2023,3,8,South,Net Banking,Electronics,Smartwatches,TechPro,12,1,1437.6,-462.01,20,-32.14,False
75,2023-06-18,2023,2,6,East,COD,Home & Kitchen,Furniture,DreamHome,423,2,160.0,62.28,0,38.92,False
76,2023-05-25,2023,2,5,South,Credit Card,Electronics,Cameras,SkyNet,152,1,1261.4,250.48000000000013,15,19.86,False
76,2023-05-25,2023,2,5,South,Credit Card,Clothing,Accessories,UrbanFit,71,1,57.95,28.6,5,49.35,False
76,2023-05-25,2023,2,5,South,Credit Card,Books,Magazines,WordCraft,370,1,78.0,47.84,0,61.33,False
77,2024-12-11,2024,4,12,South,Credit Card,Clothing,Men's Wear,TrendSetter,459,1,225.25,109.32,15,48.53,False
77,2024-12-11,2024,4,12,South,Credit Card,Sports & Outdoors,Cycling,OutdoorPro,82,1,63.9,27.58,10,43.16,False
78,2024-10-13,2024,4,10,South,UPI,Home & Kitchen,Cookware,HomeEase,193,2,1042.1,396.05999999999995,15,38.01,True
78,2024-10-13,2024,4,10,South,UPI,Clothing,Footwear,UrbanFit,302,1,172.0,102.73,0,59.73,True
79,2023-10-10,2023,4,10,South,UPI,Clothing,Footwear,FashionHub,251,1,166.4,57.150000000000006,20,34.34,False
79,2023-10-10,2023,4,10,South,UPI,Clothing,Kids' Wear,TrendSetter,184,1,216.75,112.01,15,51.68,False
79,2023-10-10,2023,4,10,South,UPI,Sports & Outdoors,Team Sports,FitLife,241,1,353.6,126.33000000000001,15,35.73,False
79,2023-10-10,2023,4,10,South,UPI,Sports & Outdoors,Camping,ActiveGear,305,1,371.45,141.35,5,38.05,False
80,2023-11-30,2023,4,11,South,Debit Card,Home & Kitchen,Storage,DreamHome,316,1,117.8,52.239999999999995,5,44.35,False
80,2023-11-30,2023,4,11,South,Debit Card,Home & Kitchen,Bedding,DreamHome,292,1,57.0,21.590000000000003,5,37.88,False
80,2023-11-30,2023,4,11,South,Debit Card,Home & Kitchen,Decor,LivingSpace,73,2,1185.6,290.5799999999999,20,24.51,True
80,2023-11-30,2023,4,11,South,Debit Card,Books,Fiction,PageTurner,230,1,25.65,12.689999999999998,5,49.47,False
80,2023-11-30,2023,4,11,South,Debit Card,Home & Kitchen,Cookware,LivingSpace,179,1,459.85,110.80000000000001,15,24.09,False
81,2025-02-04,2025,1,2,North,Debit Card,Clothing,Kids' Wear,FashionHub,113,1,207.0,107.28,0,51.83,False
81,2025-02-04,2025,1,2,North,Debit Card,Books,Fiction,PageTurner,433,3,60.0,34.769999999999996,0,57.95,False
82,2023-10-20,2023,4,10,South,Credit Card,Clothing,Footwear,FashionHub,220,3,530.4000000000001,276.2700000000001,15,52.09,False
82,2023-10-20,2023,4,10,South,Credit Card,Clothing,Women's Wear,TrendSetter,214,1,92.0,48.53,0,52.75,False
83,2023-11-19,2023,4,11,North,Credit Card,Clothing,Kids' Wear,UrbanFit,11,1,150.0,89.78,0,59.85,True
84,2023-12-25,2023,4,12,South,Net Banking,Clothing,Accessories,FashionHub,158,1,168.8,74.50000000000001,20,44.14,False
84,2023-12-25,2023,4,12,South,Net Banking,Electronics,Laptops,Electra,448,1,1885.1,241.24,30,12.8,False
84,2023-12-25,2023,4,12,South,Net Banking,Clothing,Kids' Wear,UrbanFit,172,1,38.0,18.18,0,47.84,True
85,2023-06-11,2023,2,6,South,Debit Card,Electronics,Smartwatches,TechPro,409,1,1889.6,363.9699999999998,20,19.26,False
86,2024-12-25,2024,4,12,West,Net Banking,Clothing,Accessories,FashionHub,9,1,100.3,39.29,15,39.17,False
86,2024-12-25,2024,4,12,West,Net Banking,Clothing,Footwear,StyleCraft,366,2,370.6,162.90000000000003,15,43.96,False
86,2024-12-25,2024,4,12,West,Net Banking,Clothing,Kids' Wear,ClassicWear,256,1,108.0,58.5,10,54.17,False
87,2023-10-29,2023,4,10,North,UPI,Clothing,Kids' Wear,StyleCraft,52,1,156.6,76.28999999999999,10,48.72,False
87,2023-10-29,2023,4,10,North,UPI,Sports & Outdoors,Camping,FitLife,458,2,400.9,154.33999999999997,5,38.5,False
88,2023-03-30,2023,1,3,West,UPI,Clothing,Men's Wear,StyleCraft,249,1,205.5,94.3,25,45.89,False
89,2024-06-03,2024,2,6,South,UPI,Sports & Outdoors,Camping,SportMax,422,1,37.0,19.27,0,52.08,False
90,2024-07-15,2024,3,7,North,Wallet,Home & Kitchen,Bedding,HomeEase,145,1,222.7,57.50999999999999,15,25.82,False
90,2024-07-15,2024,3,7,North,Wallet,Electronics,Headphones,ZoomTech,88,1,2191.2,6.989999999999782,40,0.32,False
91,2023-03-30,2023,1,3,East,Net Banking,Home & Kitchen,Decor,LivingSpace,122,1,608.4,261.31,10,42.95,False
91,2023-03-30,2023,1,3,East,Net Banking,Books,Comics,LearnHub,177,1,27.55,16.72,5,60.69,False
92,2023-12-14,2023,4,12,West,COD,Sports & Outdoors,Yoga,TrailBlazer,418,1,379.0,171.22,0,45.18,False
92,2023-12-14,2023,4,12,West,COD,Sports & Outdoors,Fitness,SportMax,429,1,287.3,108.15,15,37.64,False
92,2023-12-14,2023,4,12,West,COD,Clothing,Kids' Wear,StyleCraft,293,3,225.60000000000002,91.74000000000004,20,40.66,True
93,2023-04-30,2023,2,4,East,Debit Card,Sports & Outdoors,Camping,FitLife,458,2,400.9,154.33999999999997,5,38.5,False
94,2024-08-30,2024,3,8,South,UPI,Electronics,Cameras,NovaTech,74,1,2200.8,399.09000000000015,20,18.13,False
94,2024-08-30,2024,3,8,South,UPI,Books,Educational,PageTurner,337,3,108.0,56.88,0,52.67,False
95,2023-08-18,2023,3,8,East,Credit Card,Books,Fiction,LearnHub,356,2,132.0,82.3,0,62.35,False
96,2023-01-23,2023,1,1,South,UPI,Sports & Outdoors,Yoga,TrailBlazer,312,1,63.0,30.799999999999997,10,48.89,False
97,2024-04-10,2024,2,4,West,Credit Card,Books,Educational,PageTurner,346,1,35.1,17.060000000000002,10,48.6,False
97,2024-04-10,2024,2,4,West,Credit Card,Clothing,Men's Wear,FashionHub,72,1,89.0,51.11,0,57.43,True
97,2024-04-10,2024,2,4,West,Credit Card,Sports & Outdoors,Fitness,SportMax,429,1,304.2,125.04999999999998,10,41.11,True
97,2024-04-10,2024,2,4,West,Credit Card,Clothing,Women's Wear,FashionHub,412,1,18.4,6.049999999999999,20,32.88,False
