order_id,customer_id,order_date,shipping_date,region,payment_mode
1,1117,2023-12-29,2024-01-01,North,UPI
2,1060,2024-12-02,2024-12-07,North,Debit Card
3,291,2025-02-03,2025-02-04,North,COD
4,1773,2023-02-27,2023-03-04,East,Debit Card
5,675,2024-05-03,2024-05-08,West,UPI
6,362,2023-04-05,2023-04-13,West,UPI
7,1044,2024-11-10,2024-11-24,West,Debit Card
8,67,2024-08-22,2024-09-12,East,Wallet
9,1635,2023-02-11,2023-02-13,North,UPI
10,1372,2024-06-15,2024-06-18,South,Debit Card
11,1372,2023-07-09,2023-07-10,South,UPI
12,675,2023-09-14,2023-09-16,West,Net Banking
13,607,2024-12-23,2024-12-24,South,UPI
14,1628,2023-10-26,2023-10-28,West,Net Banking
15,1372,2023-11-25,2023-11-27,South,Credit Card
16,1327,2024-04-29,2024-05-03,South,UPI
17,1261,2023-01-28,2023-01-30,West,Net Banking
18,471,2024-06-28,2024-06-29,West,COD
19,1372,2024-05-30,2024-06-01,South,Net Banking
20,9,2023-03-29,2023-04-01,West,Net Banking
21,1055,2024-06-17,2024-06-18,West,Credit Card
22,608,2024-10-15,2024-11-11,South,Debit Card
23,664,2023-05-09,2023-05-15,North,Credit Card
24,830,2024-05-04,2024-05-07,South,Wallet
25,856,2023-06-04,2023-06-05,East,UPI
26,1773,2023-10-17,2023-10-19,East,Wallet
27,830,2023-11-16,2023-11-19,South,Net Banking
28,518,2024-05-19,2024-05-22,West,Wallet
29,1773,2024-07-01,2024-07-04,East,UPI
30,830,2024-12-19,2024-12-20,South,COD
31,830,2024-03-31,2024-04-01,South,UPI
32,1131,2023-08-31,2023-09-01,South,Debit Card
33,538,2024-05-18,2024-05-19,South,Credit Card
34,830,2024-03-08,2024-03-09,South,UPI
35,221,2024-05-03,2024-05-06,West,UPI
36,114,2024-01-01,2024-01-02,West,Credit Card
37,1372,2024-12-05,2024-12-06,South,Net Banking
38,1814,2023-12-19,2023-12-23,North,Credit Card
39,1538,2025-02-24,2025-02-25,West,Debit Card
40,221,2024-10-05,2024-10-08,West,COD
41,1811,2024-05-10,2024-05-13,East,Wallet
42,879,2024-07-02,2024-07-04,South,Net Banking
43,142,2024-07-10,2024-07-15,West,Credit Card
44,97,2023-09-25,2023-09-27,North,Debit Card
45,221,2024-11-27,2024-12-04,West,Debit Card
46,1072,2024-12-20,2024-12-27,South,UPI
47,28,2023-04-12,2023-04-14,West,UPI
48,1798,2023-04-14,2023-04-19,North,Debit Card
49,250,2023-08-08,2023-08-11,North,Debit Card
50,565,2024-06-25,2024-06-28,West,UPI
51,518,2024-05-17,2024-05-19,West,Credit Card
52,706,2024-06-30,2024-07-06,West,UPI
53,1773,2023-05-24,2023-05-25,East,Credit Card
54,1028,2024-06-04,2024-06-07,East,Net Banking
55,779,2023-10-03,2023-10-07,North,UPI
56,1261,2024-06-01,2024-06-02,West,Debit Card
57,849,2023-01-19,2023-01-24,North,UPI
58,1773,2024-01-14,2024-01-15,East,Credit Card
59,1773,2023-12-24,2023-12-31,South,UPI
60,82,2023-06-10,2023-06-13,West,Credit Card
61,1506,2023-05-01,2023-05-02,West,Debit Card
62,114,2023-08-19,2023-08-20,West,Debit Card
63,1506,2024-09-15,2024-09-16,West,UPI
64,675,2023-02-11,2023-02-13,West,Credit Card
65,679,2024-01-12,2024-01-20,West,Debit Card
66,1773,2024-02-18,2024-02-20,East,Debit Card
67,1037,2024-06-15,2024-06-20,West,Net Banking
68,1828,2023-09-03,2023-09-04,West,COD
69,638,2023-10-29,2023-11-04,East,COD
70,518,2023-11-29,2023-12-02,West,COD
71,998,2024-09-26,2024-09-28,South,Credit Card
72,206,2023-12-06,2023-12-09,North,Credit Card
73,1714,2023-12-27,2023-12-28,West,UPI
74,830,2023-08-04,2023-08-06,South,Net Banking
75,1035,2023-06-18,2023-06-19,East,COD
76,162,2023-05-25,2023-05-28,South,Credit Card
77,830,2024-12-11,2024-12-13,South,Credit Card
78,926,2024-10-13,2024-10-15,South,UPI
79,1372,2023-10-10,2023-10-11,South,UPI
80,162,2023-11-30,2023-12-06,South,Debit Card
81,291,2025-02-04,2025-02-05,North,Debit Card
82,830,2023-10-20,2023-10-22,South,Credit Card
83,1648,2023-11-19,2023-11-24,North,Credit Card
84,1463,2023-12-25,2023-12-31,South,Net Banking
85,1372,2023-06-11,2023-06-16,South,Debit Card
86,131,2024-12-25,2024-12-29,West,Net Banking
87,1033,2023-10-29,2023-10-30,North,UPI
88,9,2023-03-30,2023-04-01,West,UPI
89,1372,2024-06-03,2024-06-04,South,UPI
90,1814,2024-07-15,2024-07-17,North,Wallet
