order_id,product_id,quantity,selling_price,discount
1,173,2,59.0,0
2,131,3,162.0,0
3,130,1,100.8,10
3,417,1,1992.0,40
4,78,1,382.85,5
4,312,1,70.0,0
5,115,3,443.7,15
5,365,1,102.9,30
5,283,2,573.6,20
6,76,2,1932.45,35
6,99,1,128.0,20
6,62,1,343.4,15
7,180,1,384.75,5
8,128,2,209.0,0
8,7,2,1804.0,0
8,14,1,72.2,5
8,36,1,164.0,0
9,339,1,1922.7,15
10,328,1,93.0,0
11,71,1,51.85,15
12,305,3,312.8,20
13,146,2,48.0,0
14,370,1,78.0,0
14,121,3,407.2,20
14,16,1,81.9,10
14,252,3,564.0,25
14,150,2,450.75,25
15,366,1,185.3,15
15,415,2,253.0,0
15,314,3,84.6,10
15,331,2,26.0,0
16,27,1,541.8,10
17,70,2,421.6,20
18,178,3,1775.25,25
19,26,1,207.0,0
19,123,1,214.7,5
20,51,1,407.15,15
20,486,1,78.2,15
20,120,1,274.0,0
21,399,2,184.5,10
21,277,1,51.3,10
22,124,1,376.2,10
23,467,1,127.8,10
23,142,1,552.0,25
24,480,1,114.75,15
25,282,1,248.2,15
26,374,1,1334.25,25
26,339,1,1583.4,30
27,189,2,457.3,15
28,415,1,240.35,5
28,25,3,352.75,15
29,282,1,292.0,0
30,468,2,121.6,5
30,241,3,353.6,15
31,84,1,46.55,5
31,374,3,1779.0,0
31,496,2,394.0,0
32,29,1,37.8,10
32,92,1,203.0,0
32,455,2,171.0,5
32,456,1,2612.8,20
33,489,1,255.85,15
33,233,1,3101.4,10
33,457,2,89.3,5
34,346,2,37.05,5
34,485,1,210.8,15
35,63,1,532.0,0
35,4,1,98.0,0
36,165,1,159.8,15
36,130,1,112.0,0
36,454,1,218.7,10
37,339,3,1470.3,35
37,311,1,58.0,0
38,417,2,2822.0,15
38,284,1,1734.85,15
39,50,1,2216.5,35
39,482,1,133.0,0
40,268,2,383.4,10
40,361,1,341.7,15
41,322,1,38.0,5
41,354,2,153.0,0
41,112,3,1788.5,30
42,272,1,141.1,15
43,493,1,512.0,0
44,281,1,115.6,15
44,99,1,136.0,15
45,213,1,113.05,5
46,346,1,37.05,5
47,291,1,1060.5,25
47,121,1,407.2,20
48,348,2,239.2,20
48,269,1,228.0,0
48,323,2,43.7,5
49,145,1,262.0,0
49,35,1,118.8,10
49,69,3,284.05,5
49,213,1,113.05,5
49,269,1,182.4,20
50,321,1,65.0,0
50,498,1,263.0,0
51,139,1,157.6,20
52,338,2,37.4,15
52,453,3,352.8,10
52,400,1,315.0,25
53,431,1,2727.0,10
54,470,1,56.05,5
55,51,1,383.2,20
56,403,3,101.15,15
56,346,1,33.15,15
57,27,2,541.8,10
57,217,1,209.95,5
58,249,2,246.6,10
58,66,1,35.0,0
58,358,3,43.2,10
58,35,2,112.2,15
59,316,2,111.6,10
60,165,2,150.4,20
60,286,1,1754.0,50
61,180,1,364.5,10
61,261,1,27.0,0
62,179,2,459.85,15
62,187,1,473.1,5
62,292,3,60.0,0
63,414,3,152.95,5
63,394,1,391.0,0
63,462,1,1770.75,25
64,115,1,522.0,0
65,87,1,1266.0,40
65,166,1,1320.8,20
65,373,1,92.0,0
65,366,2,196.2,10
65,232,1,1940.4,30
66,72,1,80.1,10
66,217,1,221.0,0
67,33,2,1929.9,30
68,270,3,66.0,0
69,184,1,242.25,5
70,161,1,50.4,20
70,188,1,44.65,5
70,479,1,197.1,10
71,243,1,191.25,15
71,152,2,1484.0,0
71,310,1,25.65,5
72,88,3,2739.0,25
72,7,2,1353.0,25
73,208,2,139.4,15
73,92,1,203.0,0
73,178,2,1893.6,20
74,12,1,1437.6,20
75,423,2,80.0,0
76,152,1,1261.4,15
76,71,1,57.95,5
76,370,1,78.0,0
77,459,1,225.25,15
77,82,1,63.9,10
78,193,2,521.05,15
78,302,1,172.0,0
79,251,1,166.4,20
79,184,1,216.75,15
79,241,1,353.6,15
79,305,1,371.45,5
80,316,1,117.8,5
80,292,1,57.0,5
80,73,2,592.8,20
80,230,1,25.65,5
80,179,1,459.85,15
81,113,1,207.0,0
81,433,3,20.0,0
82,220,3,176.8,15
82,214,1,92.0,0
83,11,1,150.0,0
84,158,1,168.8,20
84,448,1,1885.1,30
84,172,1,38.0,0
85,409,1,1889.6,20
86,9,1,100.3,15
86,366,2,185.3,15
86,256,1,108.0,10
87,52,1,156.6,10
87,458,2,200.45,5
88,249,1,205.5,25
89,422,1,37.0,0
90,145,1,222.7,15
90,88,1,2191.2,40
91,122,1,608.4,10
91,177,1,27.55,5
92,418,1,379.0,0
92,429,1,287.3,15
92,293,3,75.2,20
93,458,2,200.45,5
94,74,1,2200.8,20
94,337,3,36.0,0
95,356,2,66.0,0
96,312,1,63.0,10
97,346,1,35.1,10
97,72,1,89.0,0
97,429,1,304.2,10
97,412,1,18.4,20
97,243,1,180.0,20
98,125,2,58.5,10
98,241,1,395.2,5
98,75,2,275.0,0
98,448,3,2019.75,25
99,482,1,133.0,0
100,203,1,294.0,0
101,490,1,229.9,5
101,488,1,217.6,15
101,268,1,426.0,0
101,466,1,264.35,15
101,68,1,31.45,15
102,5,1,256.0,0
102,377,1,861.3,10
102,194,2,106.25,15
103,452,1,136.8,5
103,125,1,65.0,0
103,115,1,417.6,20
103,413,1,90.0,0
104,271,2,71.1,10
104,37,1,186.0,0
105,492,1,37.05,5
106,249,3,232.9,15
107,113,1,207.0,0
107,138,1,156.0,20
107,428,2,36.9,10
108,270,2,59.4,10
108,75,1,261.25,5
109,228,1,33.3,10
110,353,1,127.0,0
110,198,1,1209.6,40
111,273,2,37.05,5
112,89,1,203.0,0
113,308,2,175.5,10
113,348,1,254.15,15
114,150,1,601.0,0
115,103,1,48.45,5
116,81,3,1313.5,50
116,288,1,1425.6,10
117,190,1,477.6,20
118,313,2,47.7,10
118,327,3,105.7,30
118,256,2,102.0,15
118,13,1,126.4,20
119,353,1,107.95,15
120,54,1,96.9,15
120,434,1,25.0,0
120,69,3,284.05,5
121,212,1,34.2,5
121,7,1,1262.8,30
121,491,2,344.25,15
121,42,1,104.5,5
122,238,1,1632.0,40
122,204,2,1446.0,25
122,496,1,334.9,15
123,3,1,441.75,25
123,253,1,96.75,25
123,370,1,74.1,5
123,469,1,12.0,0
124,330,1,3921.6,20
125,481,2,1897.0,0
126,497,2,94.0,0
127,343,1,198.0,0
127,282,1,292.0,0
128,471,1,437.0,5
128,299,2,144.0,10
128,238,1,1496.0,45
128,198,3,1512.0,25
128,46,2,237.5,5
129,99,2,128.0,20
129,419,1,2143.7,15
129,393,1,759.0,0
129,214,1,87.4,5
130,329,1,147.9,15
131,172,2,36.1,5
131,390,1,97.6,20
132,2,1,59.0,0
133,435,1,241.3,5
133,342,1,72.0,10
133,360,1,2134.8,10
133,149,1,382.5,10
134,234,1,168.15,5
134,225,2,110.5,15
135,21,3,1938.0,40
135,121,1,381.75,25
135,159,1,28.0,0
135,418,1,379.0,0
136,30,3,108.3,5
136,1,1,1731.6,40
137,383,1,68.4,10
137,244,1,71.25,5
137,51,2,455.05,5
137,288,2,1267.2,20
138,451,1,195.0,0
138,38,1,51.0,0
139,191,1,396.15,5
140,325,1,16.0,0
141,285,1,1686.0,0
141,20,1,2704.5,25
142,148,1,478.0,0
142,445,1,987.0,30
143,225,1,117.0,10
144,297,1,944.0,20
145,278,2,516.6,10
146,361,3,341.7,15
146,98,2,412.8,20
146,58,2,236.7,10
146,285,3,1095.9,35
146,92,2,152.25,25
147,188,1,42.3,10
147,292,1,54.0,10
148,104,1,17.85,15
149,314,2,89.3,5
149,483,2,564.4,15
150,209,1,190.4,15
150,459,3,251.75,5
150,244,2,63.75,15
150,267,1,112.0,0
150,60,1,407.0,0
151,72,1,75.65,15
152,75,1,275.0,0
152,297,1,767.0,35
153,357,1,207.1,5
153,89,1,162.4,20
153,93,2,73.8,10
153,224,1,44.1,10
154,3,2,589.0,0
154,335,1,492.3,10
155,49,2,3480.3,10
155,31,1,169.6,20
156,126,2,526.5,10
157,355,2,2069.25,25
157,488,2,256.0,0
157,110,1,68.0,0
157,375,1,1315.2,20
158,124,2,418.0,0
159,321,2,65.0,0
159,292,1,60.0,0
159,143,1,193.0,0
159,203,3,279.3,5
160,95,1,62.0,0
161,409,2,1535.3,35
161,447,1,68.25,35
161,303,1,24.0,0
161,68,1,31.45,15
162,320,1,290.0,0
162,5,1,243.2,5
162,397,2,116.1,10
162,454,1,230.85,5
163,343,1,188.1,5
163,120,1,260.3,5
164,176,1,130.9,15
165,180,1,405.0,0
165,173,1,59.0,0
165,175,1,467.2,20
165,406,1,26.1,10
166,444,1,273.6,5
166,381,1,662.0,0
167,159,1,22.4,20
168,360,1,1897.6,20
168,458,1,179.35,15
168,479,1,197.1,10
168,21,1,2584.0,20
169,158,2,200.45,5
170,414,1,161.0,0
171,27,1,602.0,0
171,295,1,136.0,0
171,287,1,1162.0,0
171,203,1,294.0,0
172,253,1,109.65,15
173,249,2,246.6,10
174,277,1,48.45,15
174,472,1,141.55,5
174,249,1,274.0,0
174,332,1,2812.8,20
174,388,1,172.9,5
175,310,2,27.0,0
175,103,1,43.35,15
175,126,1,497.25,15
176,15,1,10.45,5
176,493,3,384.0,25
176,424,1,393.3,5
176,199,1,999.7,35
177,388,1,182.0,0
177,476,1,57.0,0
178,5,1,256.0,0
178,478,1,223.0,0
178,2,1,59.0,0
178,319,1,599.25,15
179,408,1,88.0,20
180,231,2,456.0,0
180,410,2,191.9,5
181,126,2,468.0,20
181,432,2,834.4,30
181,95,2,58.9,5
181,77,1,160.2,10
182,440,2,2136.4,30
183,220,1,187.2,10
183,422,1,35.15,5
183,57,3,138.6,10
183,330,2,3186.3,35
184,425,2,76.0,5
184,253,1,122.55,5
184,362,1,28.5,5
185,449,3,427.0,0
186,441,2,150.1,5
187,367,3,2945.25,15
187,6,1,40.0,0
188,354,1,153.0,0
188,281,1,136.0,0
189,454,1,218.7,10
189,337,2,36.0,0
189,452,1,129.6,10
190,37,1,158.1,15
190,63,1,345.8,35
190,370,1,78.0,0
191,217,2,176.8,20
192,72,1,89.0,0
192,472,1,134.1,10
193,236,2,55.1,5
194,235,1,543.0,0
194,226,1,99.0,0
195,330,2,3676.5,25
195,198,1,1713.6,15
195,329,1,165.3,5
196,430,1,2829.6,20
196,155,1,27.0,0
196,56,1,40.0,0
196,66,1,31.5,10
197,263,1,141.3,10
197,381,1,662.0,0
197,450,1,19.0,0
198,381,2,529.6,20
199,69,3,284.05,5
199,72,1,80.1,10
200,39,1,725.0,0
200,222,1,370.6,15
201,84,1,46.55,5
201,80,2,436.5,10
202,154,1,81.9,10
203,106,1,420.8,20
